問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17781789","東日本高速道路株式会社","東京都","令和５年度　Notesライセンス購入","情報処理機器・ソフト及び業務","競争・公募","","2023-12-28","2024-02-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTc4OQ=="
"N17781618","独立行政法人国立病院機構/中国四国グループ/関門医療センター","山口県","第4期HOSPnet情報系専用端末一式","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-28","2024-01-22",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTYxOA=="
"N17781537","独立行政法人国立がん研究センター","千葉県","「切除不能進行・再発胃/食道胃接合部/食道腺癌患者を対象としたRegorafenibとNivolumab及び化学療法の同時併用療法の第Ib/II相臨床試験（EPOC2104）」におけるTLGs作成業務　一式","情報処理機器・ソフト及び業務,医療用機器・システム、医療・介護用品及び業務","競争・公募","A,B,C,D","2023-12-28","2024-01-23",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTUzNw=="
"N17781536","独立行政法人国立がん研究センター","千葉県","「MET遺伝子増幅を有する切除不能・進行再発大腸癌患者を対象とするカボザンチニブ単剤又はカボザンチニブとパニツムマブ同時併用療法の多施設共同第I/II相臨床試験」（EPOC1708）における統計解析業務（最終解析）・TLGs作成業務　一式","情報処理機器・ソフト及び業務,調査・研究業務","競争・公募","A,B,C,D","2023-12-28","2024-01-23",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTUzNg=="
"N17781530","独立行政法人国立がん研究センター","東京都","自動精算機五台およびPOSレジ一台","事務機器及び業務,情報処理機器・ソフト及び業務","競争・公募","A,B,C","2023-12-28","2024-02-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTUzMA=="
"N17781525","独立行政法人国立がん研究センター","東京都","Acrobat Pro 2020 Adobe 永久ライセンス　　23式","情報処理機器・ソフト及び業務","競争・公募","A,B,C,D","2023-12-28","2024-01-25",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTUyNQ=="
"N17781521","福島県市町村/郡山市","福島県","田村№２マンホールポンプ場制御盤修繕【郡山市】","電気・電源設備及び工事","指名","","2023-12-28","",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTUyMQ=="
"N17781479","茨城県","茨城県","検査用消耗品（NO723第１検査室用培地）【衛生研究所】","理化学機械器具類,薬品・防疫剤等","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3OQ=="
"N17781478","茨城県","茨城県","検査用消耗品（NO727PCRプレート）【衛生研究所】","理化学機械器具類,医療用機器・システム、医療・介護用品及び業務","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3OA=="
"N17781477","茨城県","茨城県","検査用消耗品（NO725認定小規模用）【衛生研究所】","薬品・防疫剤等","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3Nw=="
"N17781476","茨城県","茨城県","NO690ＰＣＢ含有濃度分析業務【衛生研究所】","調査・研究業務","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3Ng=="
"N17781475","茨城県","茨城県","検査用備品（NO742実態顕微鏡）【衛生研究所】","理化学機械器具類","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3NQ=="
"N17781474","茨城県","茨城県","検査用消耗品（NO728レジオネラ血清）【衛生研究所】","薬品・防疫剤等","随意","","2023-12-28","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3NA=="
"N17781473","茨城県","茨城県","検査用消耗品（NO724第３検査室（食中毒））【衛生研究所】","薬品・防疫剤等","随意","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3Mw=="
"N17781472","茨城県","茨城県","検査用消耗品（NO717グローブ、チップ）【衛生研究所】","衣料・繊維製品","随意","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3Mg=="
"N17781471","茨城県","茨城県","検査用消耗品（NO712TaqManFast）【衛生研究所】","薬品・防疫剤等","随意","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3MQ=="
"N17781470","茨城県","茨城県","検査用消耗品（NO730メスフラスコ）【衛生研究所】","理化学機械器具類","随意","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ3MA=="
"N17781469","茨城県","茨城県","検査用消耗品（NO709iSeqカートリッジ）【衛生研究所】","理化学機械器具類,薬品・防疫剤等","随意","","2023-12-28","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2OQ=="
"N17781468","茨城県","茨城県","検査用消耗品（NO710iSeqカートリッジ、プロメガ）【衛生研究所】","理化学機械器具類,薬品・防疫剤等","随意","","2023-12-28","2024-01-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2OA=="
"N17781467","茨城県","茨城県","検査用消耗品（NO744ＰＣＲ試薬）【衛生研究所】","薬品・防疫剤等","随意","","2023-12-28","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2Nw=="
"N17781466","茨城県","茨城県","検査用消耗品（NO706ELISA、PCR酵素）【衛生研究所】","理化学機械器具類,薬品・防疫剤等","随意","","2023-12-28","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2Ng=="
"N17781465","茨城県","茨城県","検査用消耗品（NO711プローブ）【衛生研究所】","理化学機械器具類","随意","","2023-12-28","2024-01-16",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2NQ=="
"N17781464","茨城県","茨城県","検査用消耗品（NO726レジオネラ培地）【衛生研究所】","理化学機械器具類,薬品・防疫剤等","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2NA=="
"N17781463","茨城県","茨城県","検査用消耗品（NO735アルゴンガス）【衛生研究所】","燃料・ガス・油脂及び工事","随意","","2023-12-28","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2Mw=="
"N17781462","茨城県","茨城県","検査用消耗品（NO716トナー）【衛生研究所】","事務機器及び業務","随意","","2023-12-28","2024-01-05",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2Mg=="
"N17781461","茨城県","茨城県","検査用消耗品（NO722アニサキスプローブT1SPB-P）【衛生研究所】","理化学機械器具類","随意","","2023-12-28","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2MQ=="
"N17781460","茨城県","茨城県","検査用消耗品（NO745フィルター）【衛生研究所】","薬品・防疫剤等","随意","","2023-12-28","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTQ2MA=="
"N17781346","厚生労働省","東京都","「職業情報提供サイト（日本版Ｏ―ＮＥＴ）」に係る運用・保守等業務一式（令和６年度）","情報処理機器・ソフト及び業務","競争・公募","A,B,C","2023-12-28","2024-02-15",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTM0Ng=="
"N17781245","国立大学法人/東海国立大学機構/名古屋大学","愛知県","ｾｷｭﾘﾃｨｼｽﾃﾑ ｵﾘｴﾝﾀﾙ技研工業株式会社製 OR-system-001 一式","情報処理機器・ソフト及び業務","競争・公募","","2023-12-27","2024-01-05",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTI0NQ=="
"N17781238","防衛装備庁","東京都","Initial Airworthiness他２０品目","文房具事務用品・図書","競争・公募","","2023-12-27","2024-01-18",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTIzOA=="
"N17781133","京都市","京都府","リコーｉｍａｇｉｏＭＰ１６００Ｆ用トナーキット【京都市】","事務機器及び業務","競争・公募","","2023-12-27","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTEzMw=="
"N17781107","京都市","京都府","ＳＯＲＡ-Ｑ（そらきゅー）【京都市】","家具・寝具・什器・備品等","競争・公募","","2023-12-27","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTEwNw=="
"N17781106","京都市","京都府","ｉＰａｄ　Ｐｒｏ【京都市】","情報処理機器・ソフト及び業務","競争・公募","","2023-12-27","2024-01-12",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTEwNg=="
"N17781087","京都市","京都府","ビー玉迷路（ｋｎｏｃｋｋｎｏｃｋトレーニングキット）【京都市】","家具・寝具・什器・備品等","競争・公募","","2023-12-27","2024-01-10",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTA4Nw=="
"N17781021","東京都","東京都","「『未来の東京』戦略 version up 2024（仮称）」の印刷","デザイン・印刷・広告","競争・公募","B,C","2023-12-27","2024-01-19",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTAyMQ=="
"N17781009","その他埼玉県市町村/深谷市","埼玉県","ＤｏｃｕＷｏｒｋｓライセンス【深谷市】","情報処理機器・ソフト及び業務","競争・公募","","2023-12-27","2024-01-24",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTAwOQ=="
"N17781001","その他埼玉県市町村/深谷市","埼玉県","川本地区複合施設ＯＡ機器・家電類【深谷市】","厨房・給食機器及び業務,家電・カメラ・映像関連の機器・用品及び業務,事務機器及び業務","競争・公募","","2023-12-27","2024-01-24",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MTAwMQ=="
"N17780885","横浜市","神奈川県","特定臨床研究におけるSMO業務の委託【横浜市】","医療用機器・システム、医療・介護用品及び業務","競争・公募","","2023-12-27","2024-01-25",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDg4NQ=="
"N17780845","国土交通省/国土地理院","茨城県","１軸磁気センサプローブ（Ｍａｇ　ＰｒｏｂｅＡ）","理化学機械器具類","競争・公募","","2023-12-27","2024-01-24",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDg0NQ=="
"N17780746","国立大学法人/北海道大学","北海道","瑞西国INTEGRA Biosciences社製 WELLJET スタッカー式ディスペンサー　外 一式","理化学機械器具類","競争・公募","A,B,C,D","2023-12-27","2024-01-09",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDc0Ng=="
"N17780590","独立行政法人新エネルギー・産業技術総合開発機構","神奈川県","カーボンリサイクル・次世代火力発電等技術開発／CO2分離・回収技術の研究開発／二酸化炭素分離膜システム実用化研究開発","調査・研究業務","競争・公募","","2023-12-27","2024-01-29",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDU5MA=="
"N17780531","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.4　CGp　小舟渡通信所で使用する電気（再生可能エネルギー比率０％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUzMQ=="
"N17780530","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.4　BGp　陸上自衛隊大日原演習場で使用する電気（再生可能エネルギー比率０％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUzMA=="
"N17780529","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.4　AGp　陸上自衛隊新発田駐屯地で使用する電気（再生可能エネルギー比率０％）","電力供給","競争・公募","A,B,C","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyOQ=="
"N17780528","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.3　CGp　小舟渡通信所で使用する電気（再生可能エネルギー比率３０％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyOA=="
"N17780527","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.3　BGp　陸上自衛隊大日原演習場で使用する電気（再生可能エネルギー比率３０％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyNw=="
"N17780526","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.3　AGp　陸上自衛隊新発田駐屯地で使用する電気（再生可能エネルギー比率３０％）","電力供給","競争・公募","A,B,C","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyNg=="
"N17780525","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.2　CGp　小舟渡通信所で使用する電気（再生可能エネルギー比率６０％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyNQ=="
"N17780524","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.2　BGp　陸上自衛隊大日原演習場で使用する電気（再生可能エネルギー比率６０％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyNA=="
"N17780523","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.2　AGp　陸上自衛隊新発田駐屯地で使用する電気（再生可能エネルギー比率６０％）","電力供給","競争・公募","A,B,C","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyMw=="
"N17780522","防衛省/陸上自衛隊/新発田駐屯地","新潟県","No.1　CGp　小舟渡通信所で使用する電気（再生可能エネルギー比率１００％）","電力供給","競争・公募","A,B,C,D","2023-12-27","2024-02-01",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc4MDUyMg=="
